backend/db/validate.js:37 | is_deleted | WHERE tc.track_id = ? AND c.is_deleted = 0
backend/db/validate.js:83 | is_deleted | WHERE c.slug = ? AND c.is_deleted = 0
backend/db/schema.js:19 | is_admin | is_admin INTEGER DEFAULT 0,
backend/db/schema.js:32 | is_admin | db.exec(`ALTER TABLE users ADD COLUMN is_admin INTEGER DEFAULT 0`)
backend/db/schema.js:40 | is_admin | db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 1)').run('admin@gmail.com', hash, salt)
backend/db/schema.js:49 | is_admin | const res = db.prepare('INSERT INTO users (username, password_hash, salt, is_admin) VALUES (?, ?, ?, 0)').run('wasihunageru@gmail.com', hash, salt)
backend/db/schema.js:64 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/db/schema.js:65 | is_archived | is_archived INTEGER DEFAULT 0
backend/db/schema.js:78 | has_pdf | has_pdf INTEGER DEFAULT 0,
backend/db/schema.js:79 | has_glossary | has_glossary INTEGER DEFAULT 0,
backend/db/schema.js:80 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/db/schema.js:81 | is_archived | is_archived INTEGER DEFAULT 0,
backend/db/schema.js:144 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/db/schema.js:145 | is_archived | is_archived INTEGER DEFAULT 0,
backend/db/schema.js:156 | is_deleted | is_deleted INTEGER DEFAULT 0,
backend/db/schema.js:157 | is_archived | is_archived INTEGER DEFAULT 0,
backend/db/schema.js:230 | is_deleted | WHERE status != 'Not Started' OR notes IS NOT NULL OR reviewed != 'No' OR is_deleted = 1 OR is_archived = 1
backend/db/schema.js:230 | is_archived | WHERE status != 'Not Started' OR notes IS NOT NULL OR reviewed != 'No' OR is_deleted = 1 OR is_archived = 1
backend/db/schema.js:240 | is_deleted | WHERE is_deleted = 1 OR is_archived = 1
backend/db/schema.js:240 | is_archived | WHERE is_deleted = 1 OR is_archived = 1
backend/db/schema.js:379 | has_glossary | db.exec(`ALTER TABLE courses ADD COLUMN has_glossary INTEGER DEFAULT 0`)
backend/db/schema.js:386 | notes_taken | db.exec(`ALTER TABLE courses ADD COLUMN notes_taken INTEGER DEFAULT 0`)
backend/db/schema.js:389 | notes_taken | db.exec(`ALTER TABLE user_courses ADD COLUMN notes_taken INTEGER DEFAULT 0`)
backend/db/schema.js:391 | notes_taken | // Seed notes_taken = 1 for completed courses
backend/db/schema.js:392 | notes_taken | db.prepare(`UPDATE user_courses SET notes_taken = 1 WHERE status = 'Completed' AND notes_taken = 0`).run()
backend/db/schema.js:393 | notes_taken | db.prepare(`UPDATE courses SET notes_taken = 1 WHERE status = 'Completed' AND notes_taken = 0`).run()
backend/routes/progress.js:41 | is_deleted | LEFT JOIN courses c ON c.id = tc.course_id AND COALESCE((SELECT uc2.is_deleted FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0 AND COALESCE((SELECT uc2.is_archived FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0
backend/routes/progress.js:41 | is_archived | LEFT JOIN courses c ON c.id = tc.course_id AND COALESCE((SELECT uc2.is_deleted FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0 AND COALESCE((SELECT uc2.is_archived FROM user_courses uc2 WHERE uc2.course_id = c.id AND uc2.user_id = ?), 0) = 0
backend/routes/progress.js:44 | is_deleted | WHERE COALESCE(ut.is_deleted, 0) = 0 AND COALESCE(ut.is_archived, 0) = 0
backend/routes/progress.js:44 | is_archived | WHERE COALESCE(ut.is_deleted, 0) = 0 AND COALESCE(ut.is_archived, 0) = 0
backend/routes/progress.js:54 | was_correct | SELECT COALESCE(AVG(was_correct), 0) * 100 AS score
backend/routes/progress.js:263 | was_correct | const correct = typeAttempts.filter(a => a.was_correct === 1).length
backend/routes/progress.js:285 | was_correct | const correct = typeAttempts.filter(a => a.was_correct === 1).length
backend/routes/progress.js:344 | was_correct | dsAttempts.filter(a => a.was_correct === 1).map(a => String(a.question_id))
backend/routes/progress.js:358 | was_correct | WHERE user_id = ? AND course_id = ? AND was_correct = 0
backend/routes/progress.js:500 | was_correct | COALESCE(SUM(was_correct), 0) AS correct_attempts,
backend/routes/progress.js:502 | was_correct | ROUND(COALESCE(AVG(was_correct), 0) * 100, 1) AS avg_accuracy
backend/routes/progress.js:566 | was_correct | WHERE course_id = ? AND exercise_type = ? AND question_id IS NOT NULL AND was_correct = 1
backend/routes/progress.js:662 | was_correct | was_correct ? 1 : 0,
backend/routes/progress.js:890 | was_correct | if (a.question_id !== null && uniqueQuestionsMap[a.exercise_type] && a.was_correct === 1) {
backend/routes/progress.js:911 | was_correct | const correct = typeAttempts.filter(a => a.was_correct === 1).length
backend/routes/progress.js:1153 | was_correct | const correct = typeAttempts.filter(a => a.was_correct === 1).length
backend/routes/progress.js:1208 | was_correct | WHERE user_id = ? AND course_id = ? AND was_correct = 0
backend/routes/content.js:541 | was_correct | WHERE course_id = ? AND exercise_type = 'dataset' AND was_correct = 1 AND question_id IS NOT NULL
backend/routes/manage.js:36 | is_deleted | WHERE ut.is_deleted = 1
backend/routes/manage.js:54 | is_deleted | WHERE uc.is_deleted = 1
backend/routes/manage.js:77 | is_deleted | WHERE ut.is_archived = 1 AND ut.is_deleted = 0
backend/routes/manage.js:77 | is_archived | WHERE ut.is_archived = 1 AND ut.is_deleted = 0
backend/routes/manage.js:85 | is_deleted | COALESCE(uc.is_deleted, 0) AS is_deleted,
backend/routes/manage.js:86 | is_archived | COALESCE(uc.is_archived, 0) AS is_archived,
backend/routes/manage.js:101 | is_deleted | WHERE uc.is_archived = 1 AND uc.is_deleted = 0
backend/routes/manage.js:101 | is_archived | WHERE uc.is_archived = 1 AND uc.is_deleted = 0
backend/routes/manage.js:170 | is_deleted | db.prepare('UPDATE user_tracks SET is_deleted = ? WHERE user_id = ? AND track_id = ?').run(is_deleted ? 1 : 0, userId, trackId)
backend/routes/manage.js:179 | is_deleted | db.prepare('UPDATE user_courses SET is_deleted = ? WHERE user_id = ? AND course_id = ?').run(is_deleted ? 1 : 0, userId, c.id)
backend/routes/manage.js:183 | is_archived | db.prepare('UPDATE user_tracks SET is_archived = ? WHERE user_id = ? AND track_id = ?').run(is_archived ? 1 : 0, userId, trackId)
backend/routes/manage.js:192 | is_archived | db.prepare('UPDATE user_courses SET is_archived = ? WHERE user_id = ? AND course_id = ?').run(is_archived ? 1 : 0, userId, c.id)
backend/routes/manage.js:273 | is_deleted | db.prepare('UPDATE user_courses SET is_deleted = ? WHERE user_id = ? AND course_id = ?').run(is_deleted ? 1 : 0, userId, courseId)
backend/routes/manage.js:276 | is_archived | db.prepare('UPDATE user_courses SET is_archived = ? WHERE user_id = ? AND course_id = ?').run(is_archived ? 1 : 0, userId, courseId)
backend/routes/manage.js:342 | is_deleted | db.prepare('UPDATE user_courses SET is_deleted = 1 WHERE user_id = ? AND course_id = ?').run(userId, cId)
backend/routes/manage.js:344 | is_deleted | db.prepare('UPDATE user_courses SET is_deleted = 0 WHERE user_id = ? AND course_id = ?').run(userId, cId)
backend/routes/manage.js:346 | is_archived | db.prepare('UPDATE user_courses SET is_archived = 1 WHERE user_id = ? AND course_id = ?').run(userId, cId)
backend/routes/manage.js:348 | is_archived | db.prepare('UPDATE user_courses SET is_archived = 0 WHERE user_id = ? AND course_id = ?').run(userId, cId)
backend/routes/manage.js:518 | has_pdf | db.prepare('UPDATE courses SET has_pdf = 1 WHERE id = ?').run(courseId)
backend/routes/manage.js:521 | has_glossary | db.prepare('UPDATE courses SET has_glossary = 1 WHERE id = ?').run(courseId)
backend/routes/manage.js:569 | notes_taken | values.push(notes_taken ? 1 : 0)
backend/routes/courses.js:50 | is_deleted | COALESCE(uc.is_deleted, 0) AS is_deleted,
backend/routes/courses.js:51 | is_archived | COALESCE(uc.is_archived, 0) AS is_archived,
