service_model,monthly_cost,provider,workload_type
PaaS,4521.93,AWS,Web
SaaS,578.23,AWS,Cache
IaaS,4847.83,GCP,Database
SaaS,1593.63,AWS,Database
SaaS,997.91,GCP,Database
PaaS,2018.68,Azure,Cache
SaaS,1246.18,Azure,Analytics
SaaS,1328.31,GCP,Database
PaaS,3742.48,Azure,Cache
IaaS,917.05,GCP,Web
SaaS,4416.6,GCP,Web
IaaS,2563.99,AWS,Analytics
SaaS,3247.73,Azure,Analytics
IaaS,4215.64,GCP,Web
SaaS,2457.91,GCP,Web
SaaS,3062.23,Azure,Database
PaaS,2371.76,AWS,Web
SaaS,2479.96,AWS,Analytics
SaaS,667.43,AWS,Cache
SaaS,634.13,Azure,Analytics
IaaS,3807.31,GCP,Web
IaaS,669.77,GCP,Database
SaaS,4127.98,Azure,Database
SaaS,3963.71,GCP,Database
IaaS,3716.99,AWS,Web
SaaS,275.11,GCP,Database
PaaS,1598.54,GCP,Database
SaaS,4678.78,GCP,Analytics
SaaS,4600.36,GCP,Analytics
IaaS,2232.49,GCP,Cache
PaaS,763.29,Azure,Cache
SaaS,2426.61,Azure,Cache
IaaS,918.13,Azure,Web
IaaS,2127.5,GCP,Web
PaaS,2045.65,Azure,Cache
PaaS,3832.61,GCP,Cache
SaaS,4801.53,Azure,Cache
PaaS,1053.07,AWS,Analytics
PaaS,2744.6,AWS,Database
IaaS,4303.11,AWS,Database
IaaS,279.08,AWS,Web
IaaS,4020.77,GCP,Database
SaaS,4503.49,Azure,Cache
IaaS,3486.62,GCP,Database
SaaS,694.13,GCP,Database
PaaS,2607.55,AWS,Database
IaaS,3711.4,GCP,Analytics
SaaS,2203.07,AWS,Analytics
SaaS,2145.02,Azure,Cache
PaaS,3348.75,GCP,Analytics
SaaS,1555.69,GCP,Web
PaaS,4076.41,GCP,Analytics
SaaS,1817.97,GCP,Database
SaaS,3128.02,GCP,Web
SaaS,2750.3,GCP,Database
IaaS,2987.39,GCP,Analytics
PaaS,840.45,AWS,Database
IaaS,2011.93,GCP,Database
IaaS,687.44,GCP,Analytics
IaaS,4785.08,Azure,Web
PaaS,1828.56,AWS,Database
IaaS,561.36,GCP,Database
IaaS,1808.89,GCP,Web
IaaS,2782.88,AWS,Analytics
IaaS,4401.23,Azure,Analytics
IaaS,2001.07,GCP,Analytics
PaaS,2454.67,AWS,Database
IaaS,4621.78,Azure,Analytics
SaaS,3424.24,AWS,Analytics
PaaS,4713.86,GCP,Web
IaaS,1631.3,GCP,Web
PaaS,966.67,AWS,Web
IaaS,2109.67,Azure,Database
SaaS,1477.51,GCP,Cache
PaaS,3305.86,AWS,Cache
SaaS,2720.65,Azure,Analytics
PaaS,1701.16,GCP,Analytics
PaaS,2952.98,AWS,Analytics
IaaS,4635.3,Azure,Database
IaaS,3943.47,AWS,Cache
PaaS,2980.9,AWS,Cache
PaaS,1430.6,AWS,Cache
PaaS,587.9,GCP,Database
SaaS,2183.18,GCP,Analytics
IaaS,4917.17,AWS,Analytics
SaaS,1124.7,AWS,Database
IaaS,833.74,AWS,Web
PaaS,2519.33,GCP,Database
PaaS,665.15,Azure,Analytics
SaaS,1153.35,Azure,Analytics
IaaS,835.06,GCP,Cache
IaaS,1505.02,GCP,Database
SaaS,3276.31,Azure,Cache
SaaS,496.52,AWS,Cache
PaaS,4178.18,GCP,Database
PaaS,1093.07,Azure,Web
SaaS,924.55,AWS,Analytics
SaaS,327.63,GCP,Analytics
PaaS,4884.87,AWS,Cache
IaaS,1571.2,Azure,Web
