system_id,rto_hours,rpo_hours,last_test_date,compliant
sys-0,28.3,13.0,2023-05-01,0
sys-1,29.3,13.2,2023-05-01,1
sys-2,36.6,9.5,2023-05-01,0
sys-3,42.6,8.0,2023-05-01,1
sys-4,19.0,3.0,2023-05-01,1
sys-5,25.0,13.7,2023-05-01,0
sys-6,35.1,21.2,2023-05-01,0
sys-7,37.5,0.9,2023-05-01,1
sys-8,15.8,20.0,2023-05-01,0
sys-9,12.1,20.4,2023-05-01,1
sys-10,24.1,19.7,2023-05-01,1
sys-11,24.8,15.5,2023-05-01,0
sys-12,34.9,5.5,2023-05-01,1
sys-13,35.8,21.0,2023-05-01,0
sys-14,6.0,1.2,2023-05-01,0
sys-15,6.6,3.3,2023-05-01,0
sys-16,7.3,6.2,2023-05-01,0
sys-17,18.2,23.8,2023-05-01,1
sys-18,24.8,3.9,2023-05-01,0
sys-19,12.4,15.4,2023-05-01,0
sys-20,41.4,7.4,2023-05-01,1
sys-21,26.5,22.8,2023-05-01,1
sys-22,47.1,7.8,2023-05-01,1
sys-23,13.5,13.9,2023-05-01,0
sys-24,10.0,21.7,2023-05-01,0
sys-25,2.5,9.2,2023-05-01,0
sys-26,43.0,0.5,2023-05-01,0
sys-27,32.2,14.4,2023-05-01,0
sys-28,17.6,11.5,2023-05-01,0
sys-29,14.1,11.5,2023-05-01,1
